72,Datum+Zeit,Heimverein,Gastverein,Halle ,SR-Verein,Doppeleinsatz,1. Schiedsrichter ,2.Schiedsrichter
Bezirksliga U16 ml (u16BZL-O) - Gruppe Ost 2023/24,2024-03-09T11:15,TSV 1860 Rosenheim,TV Traunstein,Finsterwalder Gymnasium,TSV Trostberg 1863,x,,
Bezirksliga U18 ml (u18BZL-M) - Gruppe Mitte 2023/24,2024-03-09T12:00,Haching Baskets,TSV Grünwald,Lise-Meitner-Gymnasium,BC Hellenen München,x,,
Bezirksliga U18 ml (u18BZL-O) - Gruppe Ost 2023/24,2024-03-09T12:15,TSV Wasserburg,SV Wacker Burghausen 2,Luitpold-Gymnasium,TuS Bad Aibling 2,x,,
Landesliga U14m Süd,2024-03-09T12:30,FC Bayern München 3,BG Leitershofen/Stadtbergen,Städt. Sporthalle Säbener Str.,München Basket 2,,,
Bezirksliga U18 ml (u18BZL-M) - Gruppe Mitte 2023/24,2024-03-09T12:30,MTV München,TSV Trudering,Berufsfachschule Kinderpflege,Slama Jama Gröbenzell,x,,
Bezirksoberliga U14 ml (u14BOL) 2023/24,2024-03-09T12:30,München Basket 2,FC Bayern München 3,Grundschule Amphionpark,MTSV Schwabing 5,x,,
Bezirksliga U12 ml (u12BZL-W) - Gruppe West 2023/24,2024-03-09T12:30,TSV München Ost,TSV Gräfelfing e.V.,Ost-Dome 1,TV 1863 Miesbach,,,
Bezirksoberliga U16 ml (u16BOL) 2023/24,2024-03-09T12:30,TuS Bad Aibling 2,TS Jahn München 2,Sporthalle im Sportpark,TSV Wasserburg,x,,
Landesliga U14m Süd,2024-03-09T12:45,SB Rosenheim,Baskets Vilsbiburg,Wolfgang-Pohle-Halle,TuS Prien BRIGENNAS,,,
Bezirksliga U16 ml (u16BZL-O) - Gruppe Ost 2023/24,2024-03-09T13:00,TSV 1884 Wolnzach,TSV Neuötting,Hallertau-Gymnasium,TSV Jahn Freising,,,
Bezirksliga U18 ml (u18BZL-O) - Gruppe Ost 2023/24,2024-03-09T13:30,TSV 1860 Rosenheim,Baskets Vilsbiburg,Finsterwalder Gymnasium,TSV Trostberg 1863,x,,
Bezirksoberliga U14 wbl (bolu14w)  2023/24,2024-03-09T14:30,TSV Wasserburg,TSV Gräfelfing e.V.,Luitpold-Gymnasium,TuS Bad Aibling 2,x,,
Bezirksoberliga U16 ml (u16BOL) 2023/24,2024-03-09T14:45,DJK SB München 2,Haching Baskets,Fischer-von-Erlach-Halle,TSV München Ost,,,
Bezirksliga U18 ml (u18BZL-W) - Gruppe West 2023/24,2024-03-09T15:00,TuS Fürstenfeldbruck,Slama Jama Gröbenzell,Graf-Rasso-Gymnasium,Gautinger Sportclub e.V.,,,
Kreisklasse Herren Südost 23/24,2024-03-09T15:45,TSV 1860 Rosenheim,TuS Prien BRIGENNAS,Finsterwalder Gymnasium,TuS Holzkirchen,x,,
Bezirksliga U18 ml (u18BZL-W) - Gruppe West 2023/24,2024-03-09T16:30,TSV Vaterstetten,TSV 1898 Penzberg,Realschule Baldham,MTV München,,,
Bezirksoberliga U16 ml (u16BOL) 2023/24,2024-03-09T17:00,München Basket 2,TSV Haar,Grundschule Amphionpark,Haching Baskets,,,
Bezirksklasse Damen (bkd) 2023/24,2024-03-09T17:00,SV Mammendorf 2,Ackermannbogen,Mehrzweckhalle,TuS Fürstenfeldbruck,,,
Bezirksliga U16 ml (u16BZL-W) - Gruppe West 2023/24,2024-03-09T17:00,TSV München-Forstenried,BC Hellenen München,GS Baierbrunner Straße,TSV München-Solln,,,
Bezirksklasse Herren West (BKH) 2023/2024,2024-03-09T17:00,TSV Utting,TSV München-Solln,Sportzentrum ,TSV Weilheim,,,
Bezirksklasse Herren (BKHM) Mitte 2023/24,2024-03-09T17:30,MTV München,TSV 1884 Wolnzach,Berufsfachschule Kinderpflege,München Basket 2,,,
Kreisklasse Herren B (KKHB)  2023/24,2024-03-09T17:30,Sportfreunde BiH München 2021 e.V.,SVN München,Berufsschule Dreifachhalle,TSV München Ost,,,
Kreisliga Herren Südost  Saison 23/24,2024-03-09T18:00,TSV 1860 Rosenheim,SV Schwindegg,Finsterwalder Gymnasium,TuS Holzkirchen,x,,
Kreisliga Herren Südost  Saison 23/24,2024-03-09T18:00,TSV Gars,Turn- und Sportverein Raubling e.V.,Hauptschule,SV Seeon,,,
Bezirksklasse Herren (BKHM) Mitte 2023/24,2024-03-09T18:00,TuS Holzkirchen,SpVgg Altenerding 2,Sportzentrum,TuS Bad Aibling 2,,,
Bezirksklasse Herren Südost  23/24,2024-03-09T18:30,SV Seeon,TSV Trostberg 1863,Schule Seeon,SV Wacker Burghausen 2,,,
Kreisklasse Herren Südost 23/24,2024-03-09T19:00,TSV Wasserburg,TSV Bad Reichenhall 2,Luitpold-Gymnasium,TSV 1864 Grafing 2,,,
Bezirksklasse Herren West (BKH) 2023/2024,2024-03-09T19:00,TuS Geretsried,DJK SB München 2,Gymnasium Icking,ESV Staffelsee 2,,,
Bezirksklasse Herren (BKHM) Mitte 2023/24,2024-03-09T19:15,Haching Baskets,München Basket 2,Lise-Meitner-Gymnasium,TSV München-Solln,,,
Bezirksliga U12 ml (u12BZL-O) - Gruppe Ost 2023/24,2024-03-10T10:00,TG Landshut,TSV Neuötting,Sportzentrum West Halle 4/5,Baskets Vilsbiburg,,,
Landesliga U14m Süd,2024-03-10T10:00,TSV München Ost,BC Hellenen München,Ost-Dome 1,TSV Ismaning,x,,
Bezirksliga U16 ml (u16BZL-O) - Gruppe Ost 2023/24,2024-03-10T10:00,TSV Wasserburg,SV Wacker Burghausen 2,Luitpold-Gymnasium,TSV Vaterstetten,x,,
Bezirksliga U18 ml (u18BZL-O) - Gruppe Ost 2023/24,2024-03-10T11:30,TV Traunstein,TSV Wasserburg,Halle der Ludwig-Thoma-Schule,TuS Traunreut,,,
Bezirksliga U12 ml (u12BZL-M) - Gruppe Mitte 2023/24,2024-03-10T12:00,BC Hellenen München,TSV München-Solln,Adolf-Weber-Gymnasium,TS Jahn München 2,x,,
Bezirksliga U14 ml (u14BZL-W) - Gruppe West 2023/24,2024-03-10T12:00,Slama Jama Gröbenzell,MTV München,Ballsporthalle Gröbenzell,TuS Fürstenfeldbruck,,,
Bezirksliga U14 ml (u14BZL-W) - Gruppe West 2023/24,2024-03-10T12:15,ESV Staffelsee 2,MTSV Schwabing 5,Staffelsee-Gymnasium,TSV Weilheim,,,
Bezirksliga U14 ml (u14BZL-W) - Gruppe West 2023/24,2024-03-10T12:15,TSV München Ost,TSV München-Solln,Ost-Dome 1,TSV Ismaning,x,,
Bezirksliga U14 ml (u14BZL-O) - Gruppe Ost 2023/24,2024-03-10T12:15,TSV Wasserburg,TG Landshut,Luitpold-Gymnasium,TSV Vaterstetten,x,,
Bezirksliga U16 ml (u16BZL-M) - Gruppe Mitte 2023/24,2024-03-10T12:30,TSV Vaterstetten,TSV Grünwald,Realschule Baldham,München Basket 2,x,,
Bezirksliga U14 ml (u14BZL-O) - Gruppe Ost 2023/24,2024-03-10T13:00,SV Wacker Burghausen 2,Baskets Vilsbiburg,Franz-Xaver-Gruber Mittelschule,SV Seeon,,,
Bezirksoberliga U16 wbl (bolu16w) 2023/24,2024-03-10T14:00,TSV Gräfelfing e.V.,München Basket 2,Kurt-Huber-Gymnasium,DJK SB München 2,,,
Bezirksliga U18 ml (u18BZL-M) - Gruppe Mitte 2023/24,2024-03-10T14:30,BC Hellenen München,TSV München Ost,Adolf-Weber-Gymnasium,TS Jahn München 2,x,,
Bezirksliga U18 ml (u18BZL-O) - Gruppe Ost 2023/24,2024-03-10T14:30,TG Landshut,TSV 1864 Grafing 2,Sportzentrum West Halle 4/5,TSV Jahn Freising,x,,
Landesliga U14m Süd,2024-03-10T14:45,DJK SB München 2,TS Jahn München 2,Fischer-von-Erlach-Halle,BC Hellenen München,,,
Bezirksoberliga U14 ml (u14BOL) 2023/24,2024-03-10T15:00,Ackermannbogen,TG Landshut,Hauptschule Elisabeth-Kohn-Str.,TSV Gräfelfing e.V.,x,,
Bezirksliga U16 ml (u16BZL-M) - Gruppe Mitte 2023/24,2024-03-10T15:00,Ackermannbogen,TSV Ismaning,Hauptschule Elisabeth-Kohn-Str.,TSV Gräfelfing e.V.,x,,
Kreisklasse Herren B (KKHB)  2023/24,2024-03-10T15:00,Maccabi München,Maccabi München,GS Infanteriestraße,MTV München,,,
Bezirksliga U16 ml (u16BZL-M) - Gruppe Mitte 2023/24,2024-03-10T15:00,MTSV Schwabing 5,München Basket 2,Morawitzkyhalle,TSV Trudering,,,
Bezirksklasse Damen (bkd) 2023/24,2024-03-10T15:00,SV Mammendorf 2,TSV Wasserburg,Sporthalle,BC Hellenen München,,,
Bezirksliga U18 ml (u18BZL-M) - Gruppe Mitte 2023/24,2024-03-10T15:00,TSV Vaterstetten,TSV Jahn Freising,Realschule Baldham,München Basket 2,x,,
Bezirksliga U16 ml (u16BZL-W) - Gruppe West 2023/24,2024-03-10T15:00,TuS Fürstenfeldbruck,TSV 1898 Penzberg,Graf-Rasso-Gymnasium,TSV Utting,,,
Bezirksliga U18 ml (u18BZL-W) - Gruppe West 2023/24,2024-03-10T15:45,München Basket 2,DJK SB München 2,Grundschule Amphionpark,TSV München Ost,,,
Kreisklasse Herren A (KKHA) 2023/24,2024-03-10T16:00,TSV Trudering,TSV Dorfen,Gymnasium Trudering,TSV Haar,x,,
Bezirksklasse Herren Südost  23/24,2024-03-10T16:00,TuS Bad Aibling 2,TV Traunstein,Sporthalle im Sportpark,TSV Wasserburg,,,
Bezirksoberliga U16 ml (u16BOL) 2023/24,2024-03-10T16:45,TG Landshut,Baskets Vilsbiburg,Sportzentrum West Halle 4/5,TSV Jahn Freising,x,,
Kreisklasse Herren A (KKHA) 2023/24,2024-03-10T17:00,VfB Hallbergmoos-Goldach,Ackermannbogen,Hallberghalle,FC Aschheim,,,
Bezirksliga U18 ml (u18BZL-M) - Gruppe Mitte 2023/24,2024-03-10T17:30,Ackermannbogen,TSV Ismaning,Hauptschule Elisabeth-Kohn-Str.,TSV München Ost,,,
Kreisliga Herren B (KLHB)  2023/24,2024-03-10T17:30,MTV München,München Basket 2,MTV München,DJK SB München 2,,,
Kreisliga Herren B (KLHB)  2023/24,2024-03-10T17:30,TSV Haar,TV von 1895 Markt Schwaben,Sportpark Eglfing,TSV München Ost,,,
Kreisliga Herren A (KLHA) 2023/24,2024-03-10T18:00,SpVgg Höhenkirchen,SVN München,Gymnasium Höhenkirchen-Siegertsbrunn,TuS Bad Aibling 2,,,
Bezirksklasse Damen (bkd) 2023/24,2024-03-10T18:00,SV Bad Tölz,TSV München Ost,Flintkaserne Sportpark,TSV Grünwald,,,
Kreisliga Herren A (KLHA) 2023/24,2024-03-10T18:00,TSV Trudering,TS Jahn München 2,Gymnasium Trudering,TSV Haar,x,,
Bezirksklasse Herren Südost  23/24,2024-03-10T18:00,TV 1863 Miesbach,TSV 1860 Rosenheim,Mittelschulturnhalle,TuS Bad Aibling 2,,,
Bezirksklasse Herren West (BKH) 2023/2024,2024-03-10T18:30,TSV Gräfelfing e.V.,TSV Milbertshofen,Kurt-Huber-Gymnasium,MTV München,,,
Bezirksklasse Herren Südost  23/24,2024-03-10T18:45,WSV Glonn,TuS Prien BRIGENNAS,Spielhalle WSV Glonn,TSV 1864 Grafing 2,,,
Bezirksklasse Herren (BKHM) Mitte 2023/24,2024-03-10T19:00,TSV Schleißheim,TSV München Ost,Sporthalle beim Hallenbad,FC Bayern München 3,,,
Bezirksklasse Herren Südost  23/24,2024-03-10T19:00,TSV Wasserburg,SV Wacker Burghausen 2,Luitpold-Gymnasium,TSV 1860 Rosenheim,,,
Kreisliga Herren A (KLHA) 2023/24,2024-03-10T19:30,TSV Jahn Freising,VfR Garching 2,Steinpark-Halle,VfB Hallbergmoos-Goldach,,,
Kreisliga Herren A (KLHA) 2023/24,2024-03-10T19:30,TSV München Ost,BC Hellenen München,Ost-Dome 1,TS Jahn München 2,,,
Bezirksklasse Herren West (BKH) 2023/2024,2024-03-10T19:30,TuS Fürstenfeldbruck,TSV Hechendorf,Graf-Rasso-Gymnasium,Slama Jama Gröbenzell,,,
Kreisklasse Herren B (KKHB)  2023/24,2024-03-12T20:30,MTSV Schwabing 5,MTV Pfaffenhofen,MTSV Schwabing,TSV München Ost,,,
Bezirksliga U18 ml (u18BZL-M) - Gruppe Mitte 2023/24,2024-03-15T20:30,TSV München Ost,TSV Vaterstetten,Ost-Dome 1,FC Aschheim,,,
Bezirksliga U12 ml (u12BZL-O) - Gruppe Ost 2023/24,2024-03-16T10:00,SV Wacker Burghausen 2,TS Jahn München 2,Franz-Xaver-Gruber Mittelschule,SV Seeon,,,
Bezirksliga U12 ml (u12BZL-W) - Gruppe West 2023/24,2024-03-16T10:00,TSV München Ost,ESV Staffelsee 2,Ost-Dome 1,MTV München,,,
Bezirksliga U18 ml (u18BZL-O) - Gruppe Ost 2023/24,2024-03-16T10:45,TSV Wasserburg,TSV 1860 Rosenheim,Badria,TuS Prien BRIGENNAS,x,,
Bezirksoberliga U14 ml (u14BOL) 2023/24,2024-03-16T11:30,TSV Milbertshofen,TSV Gräfelfing e.V.,Gebrüder-Apfelbeck-Halle,TSV München-Solln,,,
Bezirksliga U18 ml (u18BZL-W) - Gruppe West 2023/24,2024-03-16T12:15,DJK SB München 2,Gautinger Sportclub e.V.,Fischer-von-Erlach-Halle,BC Hellenen München,,,
Bezirksliga U12 ml (u12BZL-O) - Gruppe Ost 2023/24,2024-03-16T12:15,TSV Wasserburg,TuS Traunreut,Luitpold-Gymnasium,TSV 1860 Rosenheim,x,,
Bezirksklasse Damen (bkd) 2023/24,2024-03-16T12:30,TSV Ismaning,SV Mammendorf 2,Realschule Ismaning,TSV Jahn Freising,,,
Bezirksliga U12 ml (u12BZL-O) - Gruppe Ost 2023/24,2024-03-16T12:30,TSV Neuötting,Baskets Vilsbiburg,Max-Fellermeier-Volksschule,SV Wacker Burghausen 2,,,
Bezirksklasse Damen (bkd) 2023/24,2024-03-16T13:00,TSV Wasserburg,SV Bad Tölz,Badria,TuS Prien BRIGENNAS,x,,
Landesliga U14m Süd,2024-03-16T14:30,BC Hellenen München,TSV Jahn Freising,Adolf-Weber-Gymnasium,München Basket 2,,,
Bezirksoberliga U16 wbl (bolu16w) 2023/24,2024-03-16T14:30,München Basket 2,TSV Weilheim,Grundschule Amphionpark,TS Jahn München 2,,,
Bezirksoberliga U16 wbl (bolu16w) 2023/24,2024-03-16T14:30,TSV Jahn Freising,TSV Gräfelfing e.V.,Steinpark-Halle,TSV 1865 Dachau,,,
Bezirksoberliga U14 wbl (bolu14w)  2023/24,2024-03-16T14:30,TSV Wasserburg,TuS Bad Aibling 2,Luitpold-Gymnasium,TSV 1860 Rosenheim,x,,
Bezirksliga U12 ml (u12BZL-M) - Gruppe Mitte 2023/24,2024-03-16T15:00,FV Jahn München,BC Hellenen München,TS Jahn München,TSV Vaterstetten,,,
Kreisliga Herren A (KLHA) 2023/24,2024-03-16T15:00,SG Poing,SVN München,Dreifachhalle,TSV Ismaning,,,
Bezirksliga U18 ml (u18BZL-W) - Gruppe West 2023/24,2024-03-16T15:00,TuS Fürstenfeldbruck,TSV Weilheim,Graf-Rasso-Gymnasium,TSV Gräfelfing e.V.,,,
Bezirksliga U14 ml (u14BZL-O) - Gruppe Ost 2023/24,2024-03-16T15:00,TV 1862 Passau,TV Traunstein,Städt. Mehrfachhalle,SV Wacker Burghausen 2,,,
Bezirksliga U14 ml (u14BZL-W) - Gruppe West 2023/24,2024-03-16T15:30,TSV München-Solln,München Basket 2,Sporthalle TSV Solln,TSV München-Forstenried,x,,
Kreisklasse Herren Südost 23/24,2024-03-16T15:30,TuS Prien BRIGENNAS,TSV Trostberg 1863,Franziska-Hager-Halle,TSV Wasserburg,x,,
Kreisklasse Herren B (KKHB)  2023/24,2024-03-16T16:30,SVN München,MTSV Schwabing 5,SVN Sportpark,TSV Trudering,,,
Kreisklasse Herren Südost 23/24,2024-03-16T16:45,TSV Wasserburg,SV Wacker Burghausen 2,Luitpold-Gymnasium,TSV 1864 Grafing 2,,,
Bezirksliga U16 ml (u16BZL-W) - Gruppe West 2023/24,2024-03-16T17:00,MTV München,TSV 1898 Penzberg,MTV München,München Basket 2,,,
Bezirksklasse Damen (bkd) 2023/24,2024-03-16T17:00,TSV München-Forstenried,SV Saaldorf,GS Baierbrunner Straße,TSV Gräfelfing e.V.,,,
Kreisliga Herren A (KLHA) 2023/24,2024-03-16T17:30,VfR Garching 2,TSV München Ost,Zeppelin Sportpark Garching,TSV Ismaning,,,
Bezirksoberliga U16 ml (u16BOL) 2023/24,2024-03-16T17:45,TSV München-Solln,TG Landshut,Sporthalle TSV Solln,TSV München-Forstenried,x,,
Bezirksklasse Herren Südost  23/24,2024-03-16T18:00,TuS Prien BRIGENNAS,TV 1863 Miesbach,Franziska-Hager-Halle,TSV Wasserburg,x,,
Bezirksklasse Herren Südost  23/24,2024-03-16T19:00,SV Seeon,TV Traunstein,Schule Seeon,TSV Trostberg 1863,,,
Kreisklasse Herren Südost 23/24,2024-03-16T19:00,TSV Bad Reichenhall 2,TSV 1860 Rosenheim,Karlsgymnasium,SV Saaldorf,,,
Bezirksklasse Herren (BKHM) Mitte 2023/24,2024-03-16T20:00,TS Jahn München 2,Haching Baskets,TS Jahn München,SG Poing,,,
Bezirksoberliga U16 ml (u16BOL) 2023/24,2024-03-17T10:00,DJK SB München 2,München Basket 2,Fischer-von-Erlach-Halle,BC Hellenen München,,,
Bezirksoberliga U14 ml (u14BOL) 2023/24,2024-03-17T10:00,FC Bayern München 3,TSV 1865 Dachau,Städt. Sporthalle Säbener Str.,TSV München Ost,,,
Bezirksliga U14 ml (u14BZL-O) - Gruppe Ost 2023/24,2024-03-17T10:00,TG Landshut,Haching Baskets,Sportzentrum West Halle 4/5,Baskets Vilsbiburg,x,,
Bezirksliga U14 ml (u14BZL-O) - Gruppe Ost 2023/24,2024-03-17T10:00,TS Jahn München 2,Baskets Vilsbiburg,TS Jahn München (alt),Haching Baskets,x,,
Bezirksliga U12 ml (u12BZL-W) - Gruppe West 2023/24,2024-03-17T10:00,TS Jahn München 2,DJK SB München 2,Ruth-Drexel-Grundschule,TSV Ismaning,,,
Bezirksliga U16 ml (u16BZL-O) - Gruppe Ost 2023/24,2024-03-17T10:00,TSV Wasserburg,TSV 1860 Rosenheim,Luitpold-Gymnasium,TSV Vaterstetten,x,,
Bezirksoberliga U14 ml (u14BOL) 2023/24,2024-03-17T12:00,BC Hellenen München,München Basket 2,Adolf-Weber-Gymnasium,TSV Gräfelfing e.V.,,,
Bezirksoberliga U14 ml (u14BOL) 2023/24,2024-03-17T12:15,TG Landshut,TSV Vaterstetten,Sportzentrum West Halle 4/5,Baskets Vilsbiburg,x,,
Bezirksliga U18 ml (u18BZL-O) - Gruppe Ost 2023/24,2024-03-17T12:15,TSV 1864 Grafing 2,TV Traunstein,Jahnsporthalle,Ackermannbogen,x,,
Landesliga U14m Süd,2024-03-17T12:15,TSV München Ost,SB Rosenheim,Ost-Dome 3,München Basket 2,,,
Bezirksliga U14 ml (u14BZL-O) - Gruppe Ost 2023/24,2024-03-17T12:15,TSV Wasserburg,SV Wacker Burghausen 2,Luitpold-Gymnasium,TSV Vaterstetten,x,,
Bezirksliga U12 ml (u12BZL-M) - Gruppe Mitte 2023/24,2024-03-17T12:30,Ackermannbogen,München Basket 2,null,MTSV Schwabing 5,,,
Landesliga U14m Süd,2024-03-17T12:30,TS Jahn München 2,Baskets Vilsbiburg,TS Jahn München (alt),Haching Baskets,x,,
Bezirksliga U18 ml (u18BZL-M) - Gruppe Mitte 2023/24,2024-03-17T12:30,TSV Ismaning,BC Hellenen München,Osterfeldhalle,TSV Jahn Freising,,,
Bezirksoberliga U16 ml (u16BOL) 2023/24,2024-03-17T13:00,Haching Baskets,TuS Bad Aibling 2,Lise-Meitner-Gymnasium,TSV 1860 München,,,
Bezirksliga U16 ml (u16BZL-M) - Gruppe Mitte 2023/24,2024-03-17T13:00,TSV Grünwald,München Basket 2,Gymnasium Grünwald,MTV München,x,,
Bezirksliga U16 ml (u16BZL-W) - Gruppe West 2023/24,2024-03-17T13:30,TSV 1865 Dachau,TSV München-Forstenried,Jahnhalle,VfR Garching 2,,,
Bezirksliga U14 ml (u14BZL-W) - Gruppe West 2023/24,2024-03-17T14:00,Gautinger Sportclub e.V.,MTSV Schwabing 5,Realschule,BC Hellenen München,,,
Bezirksliga U16 ml (u16BZL-W) - Gruppe West 2023/24,2024-03-17T14:00,TSV Weilheim,TuS Fürstenfeldbruck,W.-C.-Röntgen-Mittelschule,TSV Utting,x,,
Kreisklasse Herren Südost 23/24,2024-03-17T14:30,TSV 1864 Grafing 2,SV Seeon,Jahnsporthalle,Ackermannbogen,x,,
Bezirksliga U16 ml (u16BZL-O) - Gruppe Ost 2023/24,2024-03-17T14:30,TSV Neuötting,TV Traunstein,Max-Fellermeier-Volksschule,TSV Trostberg 1863,x,,
Bezirksklasse Herren Südost  23/24,2024-03-17T14:30,TSV Wasserburg,TuS Bad Aibling 2,Luitpold-Gymnasium,ASV Rott am Inn 3,,,
Bezirksklasse Herren West (BKH) 2023/2024,2024-03-17T14:45,DJK SB München 2,TSV Hechendorf,Fischer-von-Erlach-Halle,Slama Jama Gröbenzell,,,
Bezirksoberliga U14 ml (u14BOL) 2023/24,2024-03-17T15:00,Ackermannbogen,TSV Weilheim,Hauptschule Elisabeth-Kohn-Str.,TSV München-Solln,x,,
Bezirksliga U16 ml (u16BZL-M) - Gruppe Mitte 2023/24,2024-03-17T15:00,Ackermannbogen,MTSV Schwabing 5,Hauptschule Elisabeth-Kohn-Str.,TSV München-Solln,x,,
Kreisklasse Herren B (KKHB)  2023/24,2024-03-17T15:00,Maccabi München,TuS Holzkirchen,Sporthalle Hochstr. 31,München Basket 2,x,,
Bezirksliga U14 ml (u14BZL-W) - Gruppe West 2023/24,2024-03-17T15:00,SV Mammendorf 2,TSV München Ost,Mehrzweckhalle,TSV Gräfelfing e.V.,,,
Bezirksoberliga U16 ml (u16BOL) 2023/24,2024-03-17T15:00,TS Jahn München 2,TSV Gräfelfing e.V.,TS Jahn München (alt),DJK SB München 2,x,,
Kreisliga Herren Südost  Saison 23/24,2024-03-17T15:30,TSV 1896 Freilassing,ASV Rott am Inn 3,Sport- und Freizeitanlage Badylon,TV Traunstein,,,
Bezirksliga U18 ml (u18BZL-M) - Gruppe Mitte 2023/24,2024-03-17T15:30,TSV Grünwald,TSV Trudering,Gymnasium Grünwald,MTV München,x,,
Kreisliga Herren B (KLHB)  2023/24,2024-03-17T15:45,München Basket 2,SV Bad Tölz,Grundschule Amphionpark,TS Jahn München 2,x,,
Kreisliga Herren Südost  Saison 23/24,2024-03-17T16:00,SV Schwindegg,TSV Bad Reichenhall 2,Hauptschule,Baskets Vilsbiburg,,,
Kreisklasse Herren A (KKHA) 2023/24,2024-03-17T16:00,TSV Schleißheim,TSV Trudering,Sporthalle beim Hallenbad,TSV Jahn Freising,x,,
Bezirksklasse Herren West (BKH) 2023/2024,2024-03-17T16:30,TSV Milbertshofen,TuS Geretsried,Gebrüder-Apfelbeck-Halle,Haching Baskets,,,
Bezirksliga U18 ml (u18BZL-O) - Gruppe Ost 2023/24,2024-03-17T16:30,TSV Neuötting,Baskets Vilsbiburg,Max-Fellermeier-Volksschule,TSV Trostberg 1863,x,,
Bezirksklasse Herren West (BKH) 2023/2024,2024-03-17T16:30,TSV Weilheim,TuS Fürstenfeldbruck,W.-C.-Röntgen-Mittelschule,TSV Utting,x,,
Bezirksliga U18 ml (u18BZL-W) - Gruppe West 2023/24,2024-03-17T16:45,TSV 1898 Penzberg,München Basket 2,Neue Sporthalle Wellenbad,SV Bad Tölz,,,
Bezirksliga U18 ml (u18BZL-W) - Gruppe West 2023/24,2024-03-17T16:45,TSV München-Solln,TSV Vaterstetten,Sporthalle TSV Solln,TSV Weilheim,x,,
Bezirksliga U14 ml (u14BZL-W) - Gruppe West 2023/24,2024-03-17T17:00,Slama Jama Gröbenzell,ESV Staffelsee 2,Ballsporthalle Gröbenzell,TSV Ismaning,,,
Bezirksklasse Herren (BKHM) Mitte 2023/24,2024-03-17T17:00,TSV 1884 Wolnzach,SpVgg Altenerding 2,Hallertau-Gymnasium,TG Landshut,,,
Bezirksliga U18 ml (u18BZL-M) - Gruppe Mitte 2023/24,2024-03-17T17:00,TSV Jahn Freising,Haching Baskets,Steinpark-Halle,SVN München,,,
Kreisliga Herren Südost  Saison 23/24,2024-03-17T17:00,TuS Töging,TSV 1860 Rosenheim,Mehrzweckhalle Töging,Baskets Vilsbiburg,,,
Bezirksliga U18 ml (u18BZL-M) - Gruppe Mitte 2023/24,2024-03-17T17:30,Ackermannbogen,MTV München,Hauptschule Elisabeth-Kohn-Str.,TSV Milbertshofen,x,,
Bezirksklasse Damen (bkd) 2023/24,2024-03-17T17:30,Ackermannbogen,TSV München Ost,Hauptschule Elisabeth-Kohn-Str.,TSV Milbertshofen,x,,
Kreisklasse Herren B (KKHB)  2023/24,2024-03-17T17:30,Maccabi München,TSV Vaterstetten,Sporthalle Hochstr. 31,München Basket 2,x,,
Kreisliga Herren A (KLHA) 2023/24,2024-03-17T17:30,TS Jahn München 2,TSV Jahn Freising,TS Jahn München (alt),DJK SB München 2,x,,
Kreisliga Herren B (KLHB)  2023/24,2024-03-17T17:30,TSV Haar,FC Anadolu,Sportpark Eglfing,TSV München-Forstenried,,,
Bezirksklasse Herren (BKHM) Mitte 2023/24,2024-03-17T18:00,München Basket 2,MTV München,Grundschule Amphionpark,TS Jahn München 2,x,,
Bezirksklasse Herren Südost  23/24,2024-03-17T18:00,SV Wacker Burghausen 2,WSV Glonn,Franz-Xaver-Gruber Mittelschule,TV 1862 Passau,,,
Bezirksklasse Herren Südost  23/24,2024-03-17T18:00,TSV 1860 Rosenheim,TSV Trostberg 1863,Finsterwalder Gymnasium,SB Rosenheim,,,
Kreisliga Herren A (KLHA) 2023/24,2024-03-17T18:00,TSV Trudering,SpVgg Höhenkirchen,Gymnasium Trudering,TSV 1865 Dachau,,,
Bezirksklasse Herren West (BKH) 2023/2024,2024-03-17T19:00,ESV Staffelsee 2,TSV Utting,Staffelsee-Gymnasium,TSV Weilheim,,,
Bezirksklasse Herren West (BKH) 2023/2024,2024-03-17T19:00,TSV München-Solln,TSV Gräfelfing e.V.,Sporthalle TSV Solln,TSV Weilheim,x,,
Bezirksklasse Herren (BKHM) Mitte 2023/24,2024-03-17T19:00,TSV Schleißheim,TuS Holzkirchen,Sporthalle beim Hallenbad,TSV Jahn Freising,x,,
Bezirksklasse Herren (BKHM) Mitte 2023/24,2024-03-17T19:30,TSV München Ost,TSV 1860 München,Ost-Dome 1,Sportfreunde BiH München 2021 e.V.,,,
Kreisklasse Herren A (KKHA) 2023/24,2024-03-17T20:00,Ackermannbogen,TSV Dorfen,Hauptschule Elisabeth-Kohn-Str.,FC Bayern München 3,,,
Bezirksliga U18 ml (u18BZL-W) - Gruppe West 2023/24,2024-03-23T14:00,TSV Weilheim,Gautinger Sportclub e.V.,Sportzentrum,TSV Grünwald,x,,
Bezirksklasse Herren West (BKH) 2023/2024,2024-03-23T16:30,TSV Weilheim,ESV Staffelsee 2,Sportzentrum,TSV Grünwald,x,,
Bezirksklasse Damen (bkd) 2023/24,2024-03-23T17:00,SV Mammendorf 2,TSV München-Forstenried,Mehrzweckhalle,TuS Fürstenfeldbruck,,,
Bezirksklasse Herren West (BKH) 2023/2024,2024-03-23T17:00,TSV Milbertshofen,TSV Hechendorf,Gebrüder-Apfelbeck-Halle,BC Hellenen München,,,
