72,Datum+Zeit,Heimverein,Gastverein,Halle ,SR-Verein,Doppeleinsatz,1. Schiedsrichter ,2.Schiedsrichter
Bezirksliga U14 ml (u14BZL-O) - Gruppe Ost 2023/24,2023-10-08T10:00,TS Jahn München 2,TG Landshut,TS Jahn München,Haching Baskets,,,
Bezirksoberliga U14 ml (u14BOL) 2023/24,2023-10-08T12:00,BC Hellenen München,TSV Milbertshofen,Adolf-Weber-Gymnasium,München Basket 2,,,
Bezirksliga U18 ml (u18BZL-M) - Gruppe Mitte 2023/24,2023-10-08T12:00,TSV Trudering,Ackermannbogen,Gymnasium Trudering,FC Bayern München 3,,,
Bezirksliga U18 ml (u18BZL-O) - Gruppe Ost 2023/24,2023-10-08T12:15,TG Landshut,TSV 1860 Rosenheim,Sportzentrum West Halle 4/5,Baskets Vilsbiburg,,,
Landesliga U14m Süd,2023-10-08T12:15,TSV Jahn Freising,FC Bayern München 3,Steinpark-Halle,TSV 1884 Wolnzach,,,
Bezirksliga U14 ml (u14BZL-W) - Gruppe West 2023/24,2023-10-08T12:15,TSV München Ost,ESV Staffelsee 2,Ost-Dome 1,TSV Ismaning,,,
Bezirksliga U12 ml (u12BZL-M) - Gruppe Mitte 2023/24,2023-10-08T12:30,Ackermannbogen,FV Jahn München,null,TS Jahn München 2,,,
Bezirksliga U14 ml (u14BZL-W) - Gruppe West 2023/24,2023-10-08T12:30,MTSV Schwabing 5,Slama Jama Gröbenzell,Morawitzkyhalle,TSV München-Solln,,,
Bezirksoberliga U14 wbl (bolu14w)  2023/24,2023-10-08T12:30,MTV München,TSV Wasserburg,MTV München,TSV München Ost,,,
Bezirksliga U16 ml (u16BZL-O) - Gruppe Ost 2023/24,2023-10-08T12:30,TSV Neuötting,SV Wacker Burghausen 2,Max-Fellermeier-Volksschule,Baskets Vilsbiburg,,,
Bezirksliga U16 ml (u16BZL-M) - Gruppe Mitte 2023/24,2023-10-08T13:00,TSV Grünwald,TSV Ismaning,Gymnasium Grünwald,TSV Weilheim,x,,
Bezirksliga U16 ml (u16BZL-M) - Gruppe Mitte 2023/24,2023-10-08T13:30,München Basket 2,Ackermannbogen,Grundschule Amphionpark,BC Hellenen München,,,
Bezirksliga U14 ml (u14BZL-W) - Gruppe West 2023/24,2023-10-08T14:00,Gautinger Sportclub e.V.,MTV München,Realschule,TSV München-Solln,x,,
Bezirksoberliga U16 wbl (bolu16w) 2023/24,2023-10-08T14:00,TSV Gräfelfing e.V.,TG Landshut,Kurt-Huber-Gymnasium,MTV München,,,
Bezirksoberliga U16 wbl (bolu16w) 2023/24,2023-10-08T14:00,TSV Weilheim,TS Jahn München 2,W.-C.-Röntgen-Mittelschule,TSV 1898 Penzberg,,,
Bezirksliga U16 ml (u16BZL-W) - Gruppe West 2023/24,2023-10-08T14:15,TSV München-Forstenried,TuS Fürstenfeldbruck,GS Baierbrunner Straße,BC Hellenen München,,,
Bezirksoberliga U16 ml (u16BOL) 2023/24,2023-10-08T14:30,Baskets Vilsbiburg,Haching Baskets,Ballsporthalle,TG Landshut,x,,
Bezirksliga U16 ml (u16BZL-W) - Gruppe West 2023/24,2023-10-08T14:30,TSV 1898 Penzberg,TSV Weilheim,Neue Sporthalle Wellenbad,ESV Staffelsee 2,x,,
Bezirksliga U18 ml (u18BZL-W) - Gruppe West 2023/24,2023-10-08T15:00,TSV Vaterstetten,TSV Weilheim,Realschule Baldham,TSV München Ost,,,
Kreisklasse Herren Südost 23/24,2023-10-08T15:30,SV Seeon,TSV 1860 Rosenheim,Schule Seeon,SV Wacker Burghausen 2,,,
Bezirksliga U18 ml (u18BZL-M) - Gruppe Mitte 2023/24,2023-10-08T15:30,TSV Grünwald,TSV Ismaning,Gymnasium Grünwald,TSV Weilheim,x,,
